ts,arm,model,ok,http_status,error,provider_reported,ttfb_ms,ttft_ms,total_ms,output_tokens,decode_tps,gen_id,gen_provider_name,gen_latency_ms,gen_generation_time_ms,is_byok,total_cost,warmup
2026-09-21T14:29:38+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2296.8,2296.8,3721.0,73,50.6,gen-1790000981-o1AVLsOppBpI7ZniPfba,Amazon Bedrock,1306,2721,False,0.001242,True
2026-09-21T14:29:38+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,2019.5,2019.5,3687.0,73,43.2,gen-1790000981-me0jwIfTwzI45MQp7oWO,,,,,,True
2026-09-21T14:29:38+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2298.5,2298.5,5323.2,102,33.4,gen-1790000981-KzjbocJhrDHR9cSG6zPB,Amazon Bedrock,1321,3584,False,0.001674,True
2026-09-21T14:29:38+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,3244.3,3244.3,5943.5,110,40.4,gen-1790000982-BeXyodmLeHO7yQgjXNnj,Anthropic,1145,3882,False,0.001794,True
2026-09-21T14:29:50+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2211.7,2211.7,4450.6,58,25.5,gen-1790000994-P9g85r3MLs7AVour1T3d,Amazon Bedrock,1400,2690,False,0.001002,True
2026-09-21T14:29:51+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,2217.8,2217.8,4628.7,73,29.9,gen-1790000994-K8Wvjuf2gc2IHzgAk36P,Anthropic,1088,3167,False,0.001227,True
2026-09-21T14:29:55+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,1710.4,1710.5,4164.2,72,28.9,gen-1790000998-kOSz5d4OmVPeiWQaWtEf,Amazon Bedrock,1208,2816,False,0.001215,False
2026-09-21T14:29:55+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1456.9,1456.9,4409.4,72,24.0,gen-1790000998-uAv8ulul4Z1IHyc4HB5l,Anthropic,923,2589,False,0.001215,False
2026-09-21T14:30:04+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2433.0,2433.0,3516.4,70,63.7,gen-1790001007-lh89gj684tnxI8q7tuyM,Amazon Bedrock,1401,2722,False,0.001197,False
2026-09-21T14:30:04+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,2271.9,2271.9,3602.7,73,54.1,gen-1790001007-mocKDwDMoi9DuSkq8d4z,Anthropic,1195,2855,False,0.001242,False
