ts,arm,model,ok,http_status,error,provider_reported,ttfb_ms,ttft_ms,total_ms,output_tokens,decode_tps,gen_id,gen_provider_name,gen_latency_ms,gen_generation_time_ms,is_byok,total_cost,warmup
2026-09-21T14:19:10+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,7937.4,7937.4,8384.3,84,185.7,gen-1790000358-6RhUpOpmDkI91eTog5jK,Amazon Bedrock,1261,3163,False,0.001446,True
2026-09-21T14:19:10+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,6974.5,6974.6,7622.8,84,128.0,gen-1790000356-nfRRlu8XkPictx6VteI6,Anthropic,923,3050,False,0.001446,True
2026-09-21T14:19:10+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,6951.0,6951.0,7776.9,119,142.9,gen-1790000356-i3CmDzHg9hkho29QvAsq,Amazon Bedrock,2643,3826,False,0.001959,True
2026-09-21T14:19:10+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,6544.6,6544.6,8052.1,127,83.6,gen-1790000357-P06KeYyzdnTWhyZgEhzy,Anthropic,928,3893,False,0.002085,True
2026-09-21T14:19:10+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,5781.1,5781.1,7879.8,78,36.7,gen-1790000357-ny4fzRXbXxhsH8Lqznxg,Amazon Bedrock,1364,3134,False,0.001344,True
2026-09-21T14:19:10+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,6090.8,6090.8,7757.2,72,42.6,gen-1790000356-yxkoclzw8mIhVKZp3aeV,Anthropic,859,2698,False,0.001245,True
2026-09-21T14:19:10+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,7209.1,7209.1,8017.5,74,90.3,gen-1790000356-BQGPOT9Wbh7F93zIgY8o,Amazon Bedrock,1386,3065,False,0.001284,False
2026-09-21T14:19:10+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,6475.7,6475.8,8060.6,74,46.1,gen-1790000358-kj4JXE9VuEeZyJ4IP2iQ,Anthropic,1038,2810,False,0.00129,False
2026-09-21T14:19:24+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,1711.3,1711.3,3726.0,85,41.7,gen-1790000367-Rg9s5TZlQ0jhvbYneKPl,Amazon Bedrock,1285,3290,False,0.001455,False
2026-09-21T14:19:24+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1066.9,1066.9,3236.9,87,39.6,gen-1790000367-2NPYkwH3bYynXt14Qnsm,Anthropic,654,2637,False,0.001485,False
