ts,arm,model,ok,http_status,error,provider_reported,ttfb_ms,ttft_ms,total_ms,output_tokens,decode_tps,gen_id,gen_provider_name,gen_latency_ms,gen_generation_time_ms,is_byok,total_cost,warmup
2026-09-21T14:11:23+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2609.8,2609.8,4709.3,101,47.6,gen-1789999886-cVWKn9STylCMEoeGJ0fh,,,,,,True
2026-09-21T14:11:23+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,2247.5,2247.6,4502.5,93,40.8,gen-1789999886-oxRWRVSHxPjccQUlOZVB,,,,,,True
2026-09-21T14:11:23+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2343.4,2343.4,4820.6,115,46.0,gen-1789999886-QgFzN5PKDldYziYPPbl6,Amazon Bedrock,1221,3686,False,0.001899,True
2026-09-21T14:11:23+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,2195.2,2195.3,5098.6,121,41.3,gen-1789999886-Ml9vhqevJGGNCV9tqfBT,Anthropic,1073,3967,False,0.001995,True
2026-09-21T14:11:35+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2851.0,2851.0,4533.1,72,42.2,gen-1789999898-kibUe8EkVS9S7TXSnmJq,Amazon Bedrock,1605,3262,False,0.001248,True
2026-09-21T14:11:36+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1956.6,1956.6,4524.4,95,36.6,gen-1789999899-D9FeBG1B5OWyR7U90SWp,Anthropic,1126,3680,False,0.00159,True
2026-09-21T14:11:36+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2133.2,2133.2,4835.0,102,37.4,gen-1789999899-lPCRUk6dWlRDuvzl6ozq,Amazon Bedrock,1322,3799,False,0.001701,False
2026-09-21T14:11:37+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1965.7,1965.9,4278.1,88,37.6,gen-1789999900-zmnVFPIKnKrRxmtJyrEG,Anthropic,1030,3326,False,0.001497,False
2026-09-21T14:11:48+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,1351.1,1351.2,3285.6,84,42.9,gen-1789999911-kQZ0Dt8TzaXth1NE0MA2,Amazon Bedrock,1189,3148,False,0.001446,False
2026-09-21T14:11:49+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1183.4,1183.4,3341.5,84,38.5,gen-1789999912-BuH8Yc61VdkCQyTuUCOs,Anthropic,892,3013,False,0.00144,False
2026-09-21T14:11:49+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,1670.7,1670.8,4182.8,119,47.0,gen-1789999912-9DpMQnOMfF5qB2l7IM0H,Amazon Bedrock,1360,3867,False,0.001959,False
2026-09-21T14:11:50+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1225.6,1225.6,4152.3,121,41.0,gen-1789999913-DUshxW2tG9BSCHCnRg4t,Anthropic,1036,3931,False,0.001995,False
2026-09-21T14:11:59+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2233.0,2233.0,3531.5,65,49.3,gen-1789999922-shE2bUtgc3bfRdFnSZcV,Amazon Bedrock,1392,2798,False,0.001146,False
2026-09-21T14:11:59+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1783.4,1783.4,3716.9,77,39.3,gen-1789999922-tHKg1PuWenfjCSNP7lsx,Anthropic,767,2854,False,0.001326,False
2026-09-21T14:12:00+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2167.0,2167.0,4924.1,94,33.7,gen-1789999923-PIN8f7ej3KWsMhdEWgj8,Amazon Bedrock,1463,3483,False,0.001581,False
2026-09-21T14:12:01+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,2432.9,2586.8,7025.3,253,56.8,gen-1789999924-83nm99xdBi3af4HbWzAQ,Anthropic,1666,6410,False,0.003966,False
2026-09-21T14:12:12+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,1967.8,1967.9,3870.9,86,44.7,gen-1789999935-MkVpiXUjkbSLibK3LbU4,,,,,,False
2026-09-21T14:12:13+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1475.8,1475.8,3671.8,84,37.8,gen-1789999936-i60R7GRb9Qu2eKsyGsfg,,,,,,False
2026-09-21T14:12:13+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2123.2,2123.3,4055.5,95,48.6,gen-1789999936-QqjTs8yccUCyciDi7NBN,,,,,,False
2026-09-21T14:12:18+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1097.3,1097.3,3587.4,103,41.0,gen-1789999941-Xb5gZ2gYvozXGFcAkFS0,Anthropic,970,3456,False,0.001725,False
2026-09-21T14:12:23+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2148.6,2148.7,3743.4,75,46.4,gen-1789999946-1lWlJeKWZPbunEMMNvgM,Amazon Bedrock,1585,3125,False,0.001293,False
2026-09-21T14:12:25+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1473.8,1473.8,3269.5,69,37.9,gen-1789999947-etuR9pWu6NV3sWiv6siU,Anthropic,972,2558,False,0.001197,False
2026-09-21T14:12:25+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2153.3,2153.3,4046.6,81,42.3,gen-1789999948-XOoYDIspfiiZCTAkIB9S,Amazon Bedrock,1511,3278,False,0.001386,False
2026-09-21T14:12:32+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,3125.3,3125.3,5225.9,81,38.1,gen-1789999956-h1BrfGYjkkeoxhoxwDkh,Anthropic,957,2904,False,0.001386,False
2026-09-21T14:12:38+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,3792.2,3792.2,5966.3,85,38.6,gen-1789999963-m3aannZZBMknLuD8Mau2,Amazon Bedrock,1372,3620,False,0.001449,False
2026-09-21T14:12:38+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1887.0,1887.1,3554.0,84,49.8,gen-1789999961-c5ZQ3g5Dz1X41o3nkh30,Anthropic,1227,2881,False,0.001443,False
2026-09-21T14:12:40+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2114.0,2114.0,4294.7,96,43.6,gen-1789999963-qe8ZY4JrG7uwvLBVkUaV,Amazon Bedrock,1437,3529,False,0.001623,False
2026-09-21T14:12:49+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1746.0,1746.0,4688.0,96,32.3,gen-1789999972-wjFDddBCbpVBvgEIEqbi,Anthropic,993,3221,False,0.00162,False
2026-09-21T14:12:51+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2174.0,2174.0,3798.0,78,47.4,gen-1789999974-t7T2kmlxNsuW2yUB6V1y,Amazon Bedrock,1282,2897,False,0.001338,False
2026-09-21T14:12:52+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1830.2,1830.2,4933.7,75,23.8,gen-1789999975-KjNgw4QFX1pWkzyHrrDa,Anthropic,887,2837,False,0.001287,False
2026-09-21T14:12:53+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2008.1,2008.2,4326.4,81,34.5,gen-1789999976-4F5a4qwMWXMGgMxIZhws,Amazon Bedrock,1155,2898,False,0.00138,False
2026-09-21T14:13:02+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1806.0,1806.1,3912.3,74,34.7,gen-1789999985-1Q0jvO552f1qHCjchpEb,Anthropic,921,2810,False,0.001284,False
2026-09-21T14:13:03+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,2733.9,2733.9,4234.2,84,55.3,gen-1789999986-29IPDZavPa2mmC3QldYk,Amazon Bedrock,1629,3472,False,0.001446,False
2026-09-21T14:13:07+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,3152.5,3152.6,5555.4,84,34.5,gen-1789999992-Ovua7C53Fex2NxhzTR2Z,Anthropic,1091,3202,False,0.001446,False
2026-09-21T14:13:13+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,4232.2,4232.2,4640.1,108,262.3,gen-1789999996-KuvYmwvezyBfVZkApC7R,Amazon Bedrock,2352,3615,False,0.0018,False
2026-09-21T14:13:17+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,4456.2,4456.2,6873.9,114,46.7,gen-1790000003-eSKzrfLGJp5nKbqR7uje,Anthropic,995,3653,False,0.001887,False
2026-09-21T14:13:20+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,1961.7,1961.8,3621.5,78,46.4,gen-1790000003-1ZQQzhnhN7fHOniPpdN1,Amazon Bedrock,1522,3164,False,0.001338,False
2026-09-21T14:13:27+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,1526.3,1526.3,4105.8,72,27.5,gen-1790000010-o1uZa8VQbpn18dQGkMc9,Anthropic,742,2981,False,0.001251,False
