ts,arm,model,ok,http_status,error,provider_reported,ttfb_ms,ttft_ms,total_ms,output_tokens,decode_tps,gen_id,gen_provider_name,gen_latency_ms,gen_generation_time_ms,is_byok,total_cost,warmup,synthetic
2026-09-16T19:00:00+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Anthropic,265.0,352.1,4341.5,224,55.9,gen-SYNTH40050846876,Anthropic,333,3989,False,0.00432,False,True
2026-09-16T19:00:00+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,296.6,415.6,4701.7,243,56.5,gen-SYNTH15243135302,Anthropic,377,4286,False,0.004605,False,True
2026-09-16T19:00:00+00:00,direct,claude-sonnet-4-5,True,200,,anthropic-direct,427.9,465.0,4007.3,249,70.0,,,,,False,,False,True
2026-09-16T19:00:03+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,698.4,1017.8,5181.4,253,60.5,gen-SYNTH13722205797,Amazon Bedrock,964,4164,False,0.004755,False,True
2026-09-16T19:00:03+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,306.9,422.9,3575.0,247,78.0,gen-SYNTH95751928011,Anthropic,400,3152,False,0.004665,False,True
2026-09-16T19:00:03+00:00,direct,claude-sonnet-4-5,True,200,,anthropic-direct,315.1,353.7,3826.2,240,68.8,,,,,False,,False,True
2026-09-16T19:00:06+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,479.7,688.4,4678.8,225,56.1,gen-SYNTH20755311234,Amazon Bedrock,634,3990,False,0.004335,False,True
2026-09-16T19:00:06+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,527.0,723.5,4363.8,253,69.2,gen-SYNTH69621138035,Anthropic,676,3640,False,0.004755,False,True
2026-09-16T19:00:06+00:00,direct,claude-sonnet-4-5,True,200,,anthropic-direct,308.2,355.9,3574.6,224,69.3,,,,,False,,False,True
2026-09-16T19:00:09+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Anthropic,203.0,300.7,4415.5,243,58.8,gen-SYNTH32374306669,Anthropic,273,4115,False,0.004605,False,True
2026-09-16T19:00:09+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,227.2,307.2,4156.0,234,60.5,gen-SYNTH24217119505,Anthropic,283,3849,False,0.00447,False,True
2026-09-16T19:00:09+00:00,direct,claude-sonnet-4-5,True,200,,anthropic-direct,219.6,242.9,3595.7,214,63.5,,,,,False,,False,True
2026-09-16T19:00:12+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Anthropic,305.6,432.5,3741.4,214,64.4,gen-SYNTH55180657857,Anthropic,393,3309,False,0.00417,False,True
2026-09-16T19:00:12+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,370.3,504.6,4204.6,245,65.9,gen-SYNTH64756746117,Anthropic,469,3700,False,0.004635,False,True
2026-09-16T19:00:12+00:00,direct,claude-sonnet-4-5,True,200,,anthropic-direct,215.0,243.1,4315.9,256,62.6,,,,,False,,False,True
2026-09-16T19:00:16+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,674.7,878.2,5744.3,250,51.2,gen-SYNTH79880277015,Amazon Bedrock,834,4866,False,0.00471,False,True
2026-09-16T19:00:16+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,293.8,380.3,3353.8,222,74.3,gen-SYNTH26503424115,Anthropic,350,2973,False,0.00429,False,True
2026-09-16T19:00:16+00:00,direct,claude-sonnet-4-5,True,200,,anthropic-direct,465.0,530.0,3961.1,229,66.5,,,,,False,,False,True
2026-09-16T19:00:19+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Anthropic,452.0,619.6,4646.0,254,62.8,gen-SYNTH98436218133,Anthropic,586,4026,False,0.00477,False,True
2026-09-16T19:00:19+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,597.2,899.6,4774.4,234,60.1,gen-SYNTH33575230553,Anthropic,845,3875,False,0.00447,False,True
2026-09-16T19:00:19+00:00,direct,claude-sonnet-4-5,True,200,,anthropic-direct,339.0,384.9,3852.4,224,64.3,,,,,False,,False,True
2026-09-16T19:00:22+00:00,or_default,anthropic/claude-sonnet-4.5,True,200,,Amazon Bedrock,399.6,521.6,4013.1,218,62.2,gen-SYNTH49907886763,Amazon Bedrock,493,3491,False,0.00423,False,True
2026-09-16T19:00:22+00:00,or_pinned,anthropic/claude-sonnet-4.5,True,200,,Anthropic,482.0,627.9,4247.7,227,62.4,gen-SYNTH55902400021,Anthropic,591,3620,False,0.004365,False,True
2026-09-16T19:00:22+00:00,direct,claude-sonnet-4-5,True,200,,anthropic-direct,288.4,335.1,3615.8,223,67.7,,,,,False,,False,True
